L,N,K,Ratio,Success Rate
3,100,3,0.08850393700787401,0.0
3,100,3,0.08187134502923976,0.0
3,100,3,0.07865744299256981,0.0
3,100,3,0.08927311220889203,0.0
3,100,3,0.046624105242793576,0.0
3,100,3,0.025324537135560758,0.0
3,100,3,0.010122394971882236,0.0
3,100,3,0.22865853658536586,0.0
3,100,3,0.11852750809061488,0.0
3,100,3,0.06247997436719,0.0
3,100,3,0.04440176251271043,0.0
3,100,3,0.0620801482511003,0.0
3,100,3,0.03000306153689152,0.0
3,100,3,0.03580048270313757,0.0
3,100,3,0.041787020989793956,0.0
3,100,3,0.03933178261788962,0.0
3,100,3,0.2706002034587996,0.0
3,100,3,0.1082693947144075,0.0
3,100,3,0.22654867256637168,0.0
3,100,3,0.024904839586731918,0.0
3,100,3,0.04899328859060403,0.0
3,100,3,0.028606038017144987,0.0
3,100,3,0.016456921587608905,0.0
3,100,3,0.08829807878905492,0.0
3,100,3,0.06421278882321332,0.0
3,100,3,0.19483204134366924,0.0
3,100,3,0.014793569325986867,0.0
3,100,3,0.14683460391117004,0.0
3,100,3,0.031589985581334384,0.0
3,100,3,0.020903573836817263,0.0
3,100,3,0.04166006652938381,0.0
3,100,3,0.012886888013505909,0.0
3,100,3,0.05476673427991886,0.0
3,100,3,0.1886066204772902,0.0
3,100,3,0.05535262714245574,0.0
3,100,3,0.1377049180327869,0.0
3,100,3,0.08333333333333333,0.0
3,100,3,0.04376427592507995,0.0
3,100,3,0.10884857460199926,0.0
3,100,3,0.025374503210027516,0.0
3,100,3,0.11710323574730354,0.0
3,100,3,0.01458472500556669,0.0
3,100,3,0.0449438202247191,0.0
3,100,3,0.057321693295997365,0.0
3,100,3,0.011553958930045148,0.0
3,100,3,0.029326287978863937,0.0
3,100,3,0.05147443727098237,0.0
3,100,3,0.027350642803125786,0.0
3,100,3,0.045687575392038604,0.0
3,100,3,0.24166666666666667,0.0
3,100,3,0.025803858520900322,0.0
3,100,3,0.048924808774714966,0.0
3,100,3,0.0854423032273044,0.0
3,100,3,0.027304347826086955,0.0
3,100,3,0.02984201287302516,0.0
3,100,3,0.08813747228381374,0.0
3,100,3,0.15828402366863906,0.0
3,100,3,0.031980115990058,0.0
3,100,3,0.12720403022670027,0.0
3,100,3,0.17433026789284287,0.0
3,100,3,0.012916862376702677,0.0
3,100,3,0.07004608294930875,0.0
3,100,3,0.02614855714136889,0.0
3,100,3,0.1169371618809821,0.0
3,100,3,0.016354816354816355,0.0
3,100,3,0.06031746031746032,0.0
3,100,3,0.14499700419412823,0.0
3,100,3,0.07239217176515296,0.0
3,100,3,0.11860684028867273,0.0
3,100,3,0.08950139362031588,0.0
3,100,3,0.06297406950079379,0.0
3,100,3,0.03203254099402568,0.0
3,100,3,0.028543090147674675,0.0
3,100,3,0.14775725593667546,0.0
3,100,3,0.0439360929557008,0.0
3,100,3,0.023496148971434143,0.0
3,100,3,0.06820809248554913,0.0
3,100,3,0.041468168038111736,0.0
3,100,3,0.07929824561403509,0.0
3,100,3,0.039918266073122675,0.0
3,100,3,0.22850503485670023,0.0
3,100,3,0.04896817068905212,0.0
3,100,3,0.05255748474894416,0.0
3,100,3,0.03605015673981191,0.0
3,100,3,0.585956416464891,0.0
3,100,3,0.26134585289514867,0.0
3,100,3,0.034845826021559285,0.0
3,100,3,0.035813180727339855,0.0
3,100,3,0.04988567865308668,0.0
3,100,3,0.04098481497862303,0.0
3,100,3,0.01819652244237768,0.0
3,100,3,0.10452094566569888,0.0
3,100,3,0.02811027878600664,0.0
3,100,3,0.03819114573437203,0.0
3,100,3,0.03616153088504292,0.0
3,100,3,0.032677791021056814,0.0
3,100,3,0.027777777777777776,0.0
3,100,3,0.10736131617802151,0.0
3,100,3,0.020469596628537028,0.0
3,100,3,0.09187568157033806,0.0
3,100,3,0.010739102969046115,0.0
3,100,3,0.04832332698784595,0.0
3,100,3,0.026622296173044926,0.0
3,100,3,0.01693554274034601,0.0
3,100,3,0.08669476219145093,0.0
3,100,3,0.028664063075676073,0.0
3,100,3,0.12033076703735386,0.0
3,100,3,0.1713917525773196,0.0
3,100,3,0.08843159065628477,0.0
3,100,3,0.11817750355956336,0.0
3,100,3,0.06442237829983047,0.0
3,100,3,0.13713212273011896,0.0
3,100,3,0.015585972624637826,0.0
3,100,3,0.09083696945656486,0.0
3,100,3,0.5309446254071661,0.0
3,100,3,0.037183680495782405,0.0
3,100,3,0.08765652951699464,0.0
3,100,3,0.08636573007830493,0.0
3,100,3,0.03457216940363008,0.0
3,100,3,0.07125231338679827,0.0
3,100,3,0.0847246449040618,0.0
3,100,3,0.026886110936616622,0.0
3,100,3,0.02821451647641611,0.0
3,100,3,0.02546600157521659,0.0
3,100,3,0.02130087485736021,0.0
3,100,3,0.051694915254237285,0.0
3,100,3,0.10056519197037614,0.0
3,100,3,0.02136357642094158,0.0
3,100,3,0.038335630599586494,0.0
3,100,3,0.02434861759016953,0.0
3,100,3,0.11381254404510219,0.0
3,100,3,0.024363110468350206,0.0
3,100,3,0.06920746292457343,0.0
3,100,3,0.18925056775170326,0.0
3,100,3,0.04428442844284428,0.0
3,100,3,0.027073857483214208,0.0
3,100,3,0.03554886521537749,0.0
3,100,3,0.030594405594405596,0.0
3,100,3,0.06566657231814323,0.0
3,100,3,0.10684563758389262,0.0
3,100,3,0.07621861152141803,0.0
3,100,3,0.02249095840867993,0.0
3,100,3,0.07361477572559366,0.0
3,100,3,0.08235559566787004,0.0
3,100,3,0.04762903902643727,0.0
3,100,3,0.012366548042704626,0.0
3,100,3,0.030154794612343362,0.0
3,100,3,0.02809792209977286,0.0
3,100,3,0.033185138139091776,0.0
3,100,3,0.027683181368779522,0.0
3,100,3,0.04403030923612533,0.0
3,100,3,0.01761102603369066,0.0
3,100,3,0.01695786228160329,0.0
3,100,3,0.03163302090843547,0.0
