L,N,K,Rule,Ratio,Success Rate
3,10,3,hebbian,0.29359430604982206,0.116
3,10,3,hebbian,0.7769230769230769,0.116
3,10,3,hebbian,0.10121457489878542,0.116
3,10,3,hebbian,0.8354838709677419,0.116
3,10,3,hebbian,0.20662983425414364,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.9558823529411765,0.116
3,10,3,hebbian,1.0371352785145889,0.116
3,10,3,hebbian,0.7978142076502732,0.116
3,10,3,hebbian,0.8490566037735849,0.116
3,10,3,hebbian,0.9455040871934605,0.116
3,10,3,hebbian,0.8524590163934426,0.116
3,10,3,hebbian,0.2423146473779385,0.116
3,10,3,hebbian,0.4373040752351097,0.116
3,10,3,hebbian,0.6328125,0.116
3,10,3,hebbian,0.2606774668630339,0.116
3,10,3,hebbian,0.696078431372549,0.116
3,10,3,hebbian,1.091549295774648,0.116
3,10,3,hebbian,0.12151898734177215,0.116
3,10,3,hebbian,0.15258511979823455,0.116
3,10,3,hebbian,1.0048192771084337,0.116
3,10,3,hebbian,0.3403041825095057,0.116
3,10,3,hebbian,0.523725834797891,0.116
3,10,3,hebbian,0.5248756218905473,0.116
3,10,3,hebbian,0.46756152125279643,0.116
3,10,3,hebbian,0.22631578947368422,0.116
3,10,3,hebbian,0.6090909090909091,0.116
3,10,3,hebbian,0.20785804816223066,0.116
3,10,3,hebbian,0.3243847874720358,0.116
3,10,3,hebbian,0.15991237677984665,0.116
3,10,3,hebbian,0.42233632862644416,0.116
3,10,3,hebbian,0.6150306748466258,0.116
3,10,3,hebbian,1.201271186440678,0.116
3,10,3,hebbian,0.2784615384615385,0.116
3,10,3,hebbian,0.6786885245901639,0.116
3,10,3,hebbian,1.0261780104712042,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.11242937853107345,0.116
3,10,3,hebbian,0.24360189573459715,0.116
3,10,3,hebbian,0.6271186440677966,0.116
3,10,3,hebbian,0.8226415094339623,0.116
3,10,3,hebbian,0.3214990138067061,0.116
3,10,3,hebbian,0.3388235294117647,0.116
3,10,3,hebbian,0.09985096870342772,0.116
3,10,3,hebbian,0.3513215859030837,0.116
3,10,3,hebbian,0.19891745602165087,0.116
3,10,3,hebbian,0.9487179487179487,0.116
3,10,3,hebbian,0.14349775784753363,0.116
3,10,3,hebbian,0.4095634095634096,0.116
3,10,3,hebbian,0.6254295532646048,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.1752767527675277,0.116
3,10,3,hebbian,0.09845031905195989,0.116
3,10,3,hebbian,0.1442516268980477,0.116
3,10,3,hebbian,0.7548500881834215,0.116
3,10,3,hebbian,0.6528117359413202,0.116
3,10,3,hebbian,0.45709281961471104,0.116
3,10,3,hebbian,0.11852502194907814,0.116
3,10,3,hebbian,1.0348258706467661,0.116
3,10,3,hebbian,0.9826086956521739,0.116
3,10,3,hebbian,0.22344322344322345,0.116
